CUSTKEY,CUSTNAME,CUSTADDRESS,SEGMENT,SUPPKEY,SUPPNAME,SUPPADDRESS,NATIONKEY,NATION,REGIONKEY,REGION,PARTKEY,PARTNAME,BRAND,MANUFACTURE,TYPE,QUANTITY,EXTENDEDPRICE,TAX
113,Customer#000000113,"eaOl5UBXIvdY57rglaIzqvfPD,MYfK",BUILDING,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,181,antique plum smoke pink dodger,Brand#24,Manufacturer#2,MEDIUM PLATED STEEL,5,5405.9,0.04
8,Customer#000000008,"I0B10bB0AymmC, 0PrRYBCP1yGJ8xcBPmWhl5",BUILDING,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,35,green blush tomato burlywood seashell,Brand#43,Manufacturer#4,MEDIUM ANODIZED BRASS,40,37401.2,0
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,AUTOMOBILE,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,41,burlywood goldenrod pink peru sienna,Brand#23,Manufacturer#2,ECONOMY ANODIZED TIN,61,28701.72,0.04
14,Customer#000000014,KXkletMlL2JQEA ,FURNITURE,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,170,peru grey blanched goldenrod yellow,Brand#33,Manufacturer#3,LARGE POLISHED COPPER,2,2140.34,0.07
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",MACHINERY,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,139,floral steel burlywood navy cream,Brand#32,Manufacturer#3,MEDIUM BRUSHED STEEL,48,49878.24,0.03
70,Customer#000000070,mFowIuhnHjp2GjCiYYavkW kUwOjIaTCQ,FURNITURE,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,125,mint ivory saddle peach midnight,Brand#12,Manufacturer#1,STANDARD BRUSHED BRASS,34,34854.08,0.08
70,Customer#000000070,mFowIuhnHjp2GjCiYYavkW kUwOjIaTCQ,FURNITURE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,195,bisque sienna hot goldenrod khaki,Brand#41,Manufacturer#4,STANDARD BRUSHED NICKEL,18,19713.42,0.03
46,Customer#000000046,eaTXWWm10L9,AUTOMOBILE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,154,peru moccasin peach pale spring,Brand#11,Manufacturer#1,ECONOMY ANODIZED TIN,16,16866.4,0.08
46,Customer#000000046,eaTXWWm10L9,AUTOMOBILE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,28,navajo yellow drab white misty,Brand#44,Manufacturer#4,SMALL PLATED COPPER,30,27840.6,0.06
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,AUTOMOBILE,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,177,indian turquoise purple green spring,Brand#21,Manufacturer#2,MEDIUM BRUSHED STEEL,6,6463.02,0.01
94,Customer#000000094,IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf,HOUSEHOLD,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,36,chiffon tan forest moccasin dark,Brand#25,Manufacturer#2,SMALL BURNISHED COPPER,1,936.03,0.05
76,Customer#000000076,"m3sbCvjMOHyaOofH,e UkGPtqc4",FURNITURE,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,148,yellow white ghost lavender salmon,Brand#31,Manufacturer#3,STANDARD PLATED STEEL,26,27251.64,0
116,Customer#000000116,"yCuVxIgsZ3,qyK2rloThy3u",BUILDING,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,113,almond seashell azure blanched light,Brand#31,Manufacturer#3,PROMO POLISHED TIN,37,37485.07,0.06
94,Customer#000000094,IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf,HOUSEHOLD,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,125,mint ivory saddle peach midnight,Brand#12,Manufacturer#1,STANDARD BRUSHED BRASS,45,46130.4,0.07
58,Customer#000000058,g9ap7Dk1Sv9fcXEWjpMYpBZIRUohi T,HOUSEHOLD,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,58,linen hot cornsilk drab bisque,Brand#53,Manufacturer#5,STANDARD POLISHED TIN,16,15328.8,0.08
61,Customer#000000061,9kndve4EAJxhg3veF BfXr7AqOsT39o gtqjaYE,FURNITURE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,13,ghost olive orange rosy thistle,Brand#55,Manufacturer#5,MEDIUM BURNISHED NICKEL,47,42911.47,0.07
137,Customer#000000137,cdW91p92rlAEHgJafqYyxf1Q,HOUSEHOLD,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,92,blush magenta ghost tomato rose,Brand#22,Manufacturer#2,STANDARD ANODIZED TIN,47,46628.23,0.01
74,Customer#000000074,"IkJHCA3ZThF7qL7VKcrU nRLl,kylf ",MACHINERY,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,82,khaki tomato purple almond tan,Brand#15,Manufacturer#1,ECONOMY POLISHED TIN,31,30444.48,0.04
139,Customer#000000139,3ElvBwudHKL02732YexGVFVt ,MACHINERY,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,124,wheat blush forest metallic navajo,Brand#32,Manufacturer#3,PROMO ANODIZED STEEL,31,31747.72,0.03
58,Customer#000000058,g9ap7Dk1Sv9fcXEWjpMYpBZIRUohi T,HOUSEHOLD,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,25,aquamarine steel firebrick light turquoise,Brand#55,Manufacturer#5,STANDARD BRUSHED COPPER,32,29600.64,0.01
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",MACHINERY,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,72,hot spring yellow azure dodger,Brand#23,Manufacturer#2,STANDARD ANODIZED TIN,7,6804.49,0.02
55,Customer#000000055,zIRBR4KNEl HzaiV3a i9n6elrxzDEh8r8pDom,MACHINERY,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,1,goldenrod lavender spring chocolate lace,Brand#13,Manufacturer#1,PROMO BURNISHED COPPER,10,9010,0.03
128,Customer#000000128,AmKUMlJf2NRHcKGmKjLS,HOUSEHOLD,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,93,pale yellow cornsilk dodger moccasin,Brand#24,Manufacturer#2,LARGE ANODIZED TIN,42,41709.78,0.08
94,Customer#000000094,IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf,HOUSEHOLD,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,53,bisque rose cornsilk seashell purple,Brand#23,Manufacturer#2,ECONOMY BURNISHED NICKEL,3,2859.15,0.07
73,Customer#000000073,8IhIxreu4Ug6tt5mog4,BUILDING,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,72,hot spring yellow azure dodger,Brand#23,Manufacturer#2,STANDARD ANODIZED TIN,3,2916.21,0.07
55,Customer#000000055,zIRBR4KNEl HzaiV3a i9n6elrxzDEh8r8pDom,MACHINERY,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,195,bisque sienna hot goldenrod khaki,Brand#41,Manufacturer#4,STANDARD BRUSHED NICKEL,33,36141.27,0.05
34,Customer#000000034,"Q6G9wZ6dnczmtOx509xgE,M2KV",HOUSEHOLD,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,68,bisque ivory mint purple almond,Brand#11,Manufacturer#1,PROMO ANODIZED STEEL,27,26137.62,0.02
31,Customer#000000031,LUACbO0viaAv6eXOAebryDB xjVst,HOUSEHOLD,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,20,ivory navy honeydew sandy midnight,Brand#12,Manufacturer#1,LARGE POLISHED NICKEL,5,4600.1,0.04
4,Customer#000000004,XxVSJsLAGtn,MACHINERY,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,160,frosted cornflower khaki salmon metallic,Brand#55,Manufacturer#5,STANDARD POLISHED COPPER,24,25443.84,0.08
109,Customer#000000109,OOOkYBgCMzgMQXUmkocoLb56rfrdWp2NE2c,BUILDING,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,192,thistle puff pink cream orange,Brand#34,Manufacturer#3,STANDARD BRUSHED COPPER,22,24028.18,0.03
65,Customer#000000065,"RGT yzQ0y4l0H90P783LG4U95bXQFDRXbWa1sl,X",AUTOMOBILE,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,193,turquoise lime royal metallic azure,Brand#45,Manufacturer#4,ECONOMY BURNISHED BRASS,21,22956.99,0.02
73,Customer#000000073,8IhIxreu4Ug6tt5mog4,BUILDING,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,179,deep puff brown blue burlywood,Brand#43,Manufacturer#4,ECONOMY BRUSHED STEEL,21,22662.57,0.03
43,Customer#000000043,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,MACHINERY,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,109,lemon black indian cornflower pale,Brand#33,Manufacturer#3,ECONOMY POLISHED TIN,38,38345.8,0.03
104,Customer#000000104,9mcCK L7rt0SwiYtrbO88DiZS7U d7M,FURNITURE,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,191,mint midnight puff forest peach,Brand#31,Manufacturer#3,MEDIUM POLISHED BRASS,38,41465.22,0.08
76,Customer#000000076,"m3sbCvjMOHyaOofH,e UkGPtqc4",FURNITURE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,91,misty bisque lavender spring turquoise,Brand#21,Manufacturer#2,STANDARD BRUSHED TIN,15,14866.35,0.05
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,AUTOMOBILE,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,103,navy sky spring orchid forest,Brand#25,Manufacturer#2,MEDIUM PLATED BRASS,10,10031,0.02
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,AUTOMOBILE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,178,lace blanched magenta yellow almond,Brand#13,Manufacturer#1,STANDARD POLISHED TIN,7,7547.19,0.07
64,Customer#000000064,"MbCeGY20kaKK3oalJD,OT",BUILDING,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,71,violet firebrick cream peru white,Brand#33,Manufacturer#3,STANDARD PLATED BRASS,18,17479.26,0.05
101,Customer#000000101,sMmL2rNeHDltovSm Y,MACHINERY,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,60,snow spring sandy olive tomato,Brand#11,Manufacturer#1,LARGE POLISHED COPPER,22,21121.32,0.04
82,Customer#000000082,"zhG3EZbap4c992Gj3bK,3Ne,Xn",AUTOMOBILE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,107,violet honeydew bisque sienna orchid,Brand#53,Manufacturer#5,SMALL BURNISHED TIN,29,29205.9,0.08
62,Customer#000000062,"upJK2Dnw13,",MACHINERY,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,182,beige cyan burlywood chiffon light,Brand#31,Manufacturer#3,MEDIUM ANODIZED COPPER,16,17314.88,0.03
31,Customer#000000031,LUACbO0viaAv6eXOAebryDB xjVst,HOUSEHOLD,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,84,salmon floral cream rose dark,Brand#45,Manufacturer#4,SMALL ANODIZED NICKEL,17,16729.36,0
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,AUTOMOBILE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,43,medium lace midnight royal chartreuse,Brand#44,Manufacturer#4,PROMO POLISHED STEEL,16,15088.64,0.08
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,AUTOMOBILE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,96,chocolate light firebrick rose indian,Brand#53,Manufacturer#5,STANDARD BRUSHED STEEL,47,46816.23,0.01
101,Customer#000000101,sMmL2rNeHDltovSm Y,MACHINERY,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,103,navy sky spring orchid forest,Brand#25,Manufacturer#2,MEDIUM PLATED BRASS,49,49151.9,0.06
101,Customer#000000101,sMmL2rNeHDltovSm Y,MACHINERY,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,71,violet firebrick cream peru white,Brand#33,Manufacturer#3,STANDARD PLATED BRASS,14,13594.98,0.04
25,Customer#000000025,Hp8GyFQgGHFYSilH5tBfe,FURNITURE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,43,medium lace midnight royal chartreuse,Brand#44,Manufacturer#4,PROMO POLISHED STEEL,35,33006.4,0.08
110,Customer#000000110,mymPfgphaYXNYtk,AUTOMOBILE,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,84,salmon floral cream rose dark,Brand#45,Manufacturer#4,SMALL ANODIZED NICKEL,50,49204,0.06
76,Customer#000000076,"m3sbCvjMOHyaOofH,e UkGPtqc4",FURNITURE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,36,chiffon tan forest moccasin dark,Brand#25,Manufacturer#2,SMALL BURNISHED COPPER,17,15912.51,0.05
112,Customer#000000112,RcfgG3bO7QeCnfjqJT1,FURNITURE,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,153,linen frosted slate coral peru,Brand#11,Manufacturer#1,STANDARD PLATED TIN,14,14744.1,0.06
70,Customer#000000070,mFowIuhnHjp2GjCiYYavkW kUwOjIaTCQ,FURNITURE,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,68,bisque ivory mint purple almond,Brand#11,Manufacturer#1,PROMO ANODIZED STEEL,7,6776.42,0.05
74,Customer#000000074,"IkJHCA3ZThF7qL7VKcrU nRLl,kylf ",MACHINERY,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,63,burnished puff coral light papaya,Brand#32,Manufacturer#3,STANDARD BURNISHED NICKEL,48,46226.88,0.04
25,Customer#000000025,Hp8GyFQgGHFYSilH5tBfe,FURNITURE,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,52,lemon midnight lace sky deep,Brand#35,Manufacturer#3,STANDARD BURNISHED TIN,40,38082,0
140,Customer#000000140,"XRqEPiKgcETII,iOLDZp5jA",MACHINERY,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,85,dim deep aquamarine smoke pale,Brand#55,Manufacturer#5,PROMO ANODIZED NICKEL,34,33492.72,0.08
140,Customer#000000140,"XRqEPiKgcETII,iOLDZp5jA",MACHINERY,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,91,misty bisque lavender spring turquoise,Brand#21,Manufacturer#2,STANDARD BRUSHED TIN,37,36670.33,0.01
61,Customer#000000061,9kndve4EAJxhg3veF BfXr7AqOsT39o gtqjaYE,FURNITURE,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,52,lemon midnight lace sky deep,Brand#35,Manufacturer#3,STANDARD BURNISHED TIN,8,7616.4,0.08
148,Customer#000000148,BhSPlEWGvIJyT9swk vCWE,HOUSEHOLD,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,148,yellow white ghost lavender salmon,Brand#31,Manufacturer#3,STANDARD PLATED STEEL,39,40877.46,0
67,Customer#000000067,rfG0cOgtr5W8 xILkwp9fpCS8,MACHINERY,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,30,cream misty steel spring medium,Brand#42,Manufacturer#4,PROMO ANODIZED TIN,38,35341.14,0
134,Customer#000000134,sUiZ78QCkTQPICKpA9OBzkUp2FM,BUILDING,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,124,wheat blush forest metallic navajo,Brand#32,Manufacturer#3,PROMO ANODIZED STEEL,48,49157.76,0.02
64,Customer#000000064,"MbCeGY20kaKK3oalJD,OT",BUILDING,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,126,burnished black blue metallic orchid,Brand#45,Manufacturer#4,MEDIUM BRUSHED NICKEL,1,1026.12,0.04
106,Customer#000000106,xGCOEAUjUNG,MACHINERY,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,52,lemon midnight lace sky deep,Brand#35,Manufacturer#3,STANDARD BURNISHED TIN,33,31417.65,0.03
139,Customer#000000139,3ElvBwudHKL02732YexGVFVt ,MACHINERY,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,143,bisque dodger blanched steel maroon,Brand#34,Manufacturer#3,ECONOMY PLATED TIN,25,26078.5,0.03
95,Customer#000000095,"EU0xvmWvOmUUn5J,2z85DQyG7QCJ9Xq7",MACHINERY,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,185,firebrick black ivory spring medium,Brand#44,Manufacturer#4,ECONOMY POLISHED TIN,30,32555.4,0.03
142,Customer#000000142,"AnJ5lxtLjioClr2khl9pb8NLxG2,",AUTOMOBILE,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,10,linen pink saddle puff powder,Brand#54,Manufacturer#5,LARGE BURNISHED STEEL,38,34580.38,0.01
134,Customer#000000134,sUiZ78QCkTQPICKpA9OBzkUp2FM,BUILDING,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,48,slate thistle cornsilk pale forest,Brand#53,Manufacturer#5,STANDARD BRUSHED STEEL,41,38869.64,0.02
145,Customer#000000145,kQjHmt2kcec cy3hfMh969u,HOUSEHOLD,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,36,chiffon tan forest moccasin dark,Brand#25,Manufacturer#2,SMALL BURNISHED COPPER,39,36505.17,0.06
145,Customer#000000145,kQjHmt2kcec cy3hfMh969u,HOUSEHOLD,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,178,lace blanched magenta yellow almond,Brand#13,Manufacturer#1,STANDARD POLISHED TIN,14,15094.38,0.06
94,Customer#000000094,IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf,HOUSEHOLD,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,172,medium goldenrod linen sky coral,Brand#53,Manufacturer#5,PROMO PLATED NICKEL,20,21443.4,0.01
94,Customer#000000094,IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf,HOUSEHOLD,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,39,rose medium floral salmon powder,Brand#53,Manufacturer#5,SMALL POLISHED TIN,8,7512.24,0.07
113,Customer#000000113,"eaOl5UBXIvdY57rglaIzqvfPD,MYfK",BUILDING,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,175,magenta blue chartreuse tan green,Brand#11,Manufacturer#1,PROMO ANODIZED TIN,15,16127.55,0
149,Customer#000000149,3byTHCp2mNLPigUrrq,AUTOMOBILE,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,119,olive metallic slate peach green,Brand#43,Manufacturer#4,LARGE POLISHED STEEL,37,37707.07,0.02
16,Customer#000000016,"cYiaeMLZSMAOQ2 d0W,",FURNITURE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,178,lace blanched magenta yellow almond,Brand#13,Manufacturer#1,STANDARD POLISHED TIN,35,37735.95,0.02
16,Customer#000000016,"cYiaeMLZSMAOQ2 d0W,",FURNITURE,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,5,forest brown coral puff cream,Brand#32,Manufacturer#3,STANDARD POLISHED TIN,15,13575,0.05
148,Customer#000000148,BhSPlEWGvIJyT9swk vCWE,HOUSEHOLD,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,169,bisque misty sky cornflower peach,Brand#55,Manufacturer#5,STANDARD POLISHED BRASS,4,4276.64,0
64,Customer#000000064,"MbCeGY20kaKK3oalJD,OT",BUILDING,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,28,navajo yellow drab white misty,Brand#44,Manufacturer#4,SMALL PLATED COPPER,14,12992.28,0.01
64,Customer#000000064,"MbCeGY20kaKK3oalJD,OT",BUILDING,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,157,navajo linen coral brown forest,Brand#11,Manufacturer#1,ECONOMY ANODIZED STEEL,27,28543.05,0.01
122,Customer#000000122,yp5slqoNd26lAENZW3a67wSfXA6hTF,HOUSEHOLD,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,25,aquamarine steel firebrick light turquoise,Brand#55,Manufacturer#5,STANDARD BRUSHED COPPER,15,13875.3,0.08
134,Customer#000000134,sUiZ78QCkTQPICKpA9OBzkUp2FM,BUILDING,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,170,peru grey blanched goldenrod yellow,Brand#33,Manufacturer#3,LARGE POLISHED COPPER,42,44947.14,0.02
134,Customer#000000134,sUiZ78QCkTQPICKpA9OBzkUp2FM,BUILDING,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,57,purple blue light sienna deep,Brand#32,Manufacturer#3,MEDIUM BURNISHED BRASS,34,32539.7,0.08
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,AUTOMOBILE,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,167,almond floral grey dim sky,Brand#32,Manufacturer#3,LARGE ANODIZED STEEL,19,20276.04,0.04
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,AUTOMOBILE,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,39,rose medium floral salmon powder,Brand#53,Manufacturer#5,SMALL POLISHED TIN,9,8451.27,0
149,Customer#000000149,3byTHCp2mNLPigUrrq,AUTOMOBILE,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,8,misty lace thistle snow royal,Brand#44,Manufacturer#4,PROMO BURNISHED TIN,36,32688,0.05
76,Customer#000000076,"m3sbCvjMOHyaOofH,e UkGPtqc4",FURNITURE,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,115,spring chiffon cream orchid dodger,Brand#45,Manufacturer#4,STANDARD POLISHED STEEL,41,41619.51,0.06
50,Customer#000000050,9SzDYlkzxByyJ1QeTI o,MACHINERY,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,34,khaki steel rose ghost salmon,Brand#13,Manufacturer#1,LARGE BRUSHED STEEL,21,19614.63,0.06
55,Customer#000000055,zIRBR4KNEl HzaiV3a i9n6elrxzDEh8r8pDom,MACHINERY,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,148,yellow white ghost lavender salmon,Brand#31,Manufacturer#3,STANDARD PLATED STEEL,20,20962.8,0
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,AUTOMOBILE,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,165,white dim cornflower sky seashell,Brand#15,Manufacturer#1,STANDARD PLATED STEEL,49,52192.84,0.06
112,Customer#000000112,RcfgG3bO7QeCnfjqJT1,FURNITURE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,136,cornsilk maroon blanched thistle rosy,Brand#22,Manufacturer#2,SMALL PLATED STEEL,28,29011.64,0.06
100,Customer#000000100,fptUABXcmkC5Wx,FURNITURE,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,134,steel beige mint maroon indian,Brand#42,Manufacturer#4,SMALL POLISHED STEEL,34,35160.42,0.04
41,Customer#000000041,IM9mzmyoxeBmvNw8lA7G3Ydska2nkZF,HOUSEHOLD,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,143,bisque dodger blanched steel maroon,Brand#34,Manufacturer#3,ECONOMY PLATED TIN,34,35466.76,0.04
41,Customer#000000041,IM9mzmyoxeBmvNw8lA7G3Ydska2nkZF,HOUSEHOLD,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,51,lime frosted indian dodger linen,Brand#45,Manufacturer#4,ECONOMY BURNISHED NICKEL,10,9510.5,0.07
14,Customer#000000014,KXkletMlL2JQEA ,FURNITURE,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,85,dim deep aquamarine smoke pale,Brand#55,Manufacturer#5,PROMO ANODIZED NICKEL,7,6895.56,0.06
